rank,country,gdp_label,gdp_usd,gdp_per_capita_usd
133,Nicaragua,$19.7 billion,19696311850,2848
134,Botswana,$19.29 billion,19286251068,7650
135,Moldova,$18.21 billion,18206842141,7579
136,Kyrgyzstan,$18.16 billion,18161630699,2515
137,Afghanistan,$17.78 billion,17778508876,417
138,Madagascar,$17.59 billion,17592832696,550
139,North Macedonia,$16.95 billion,16951682221,9292
140,Laos,$16.5 billion,16502933121,2124
141,North Korea,"$16.45 billion (UN, 2023)",16446632290,640
142,State of Palestine,$16.02 billion,16016900000,3028
143,Bahamas,$15.83 billion,15832800000,39455
144,Congo,$15.72 billion,15719986077,2482
145,Brunei,$15.34 billion,15340808592,33153
146,Rwanda,$15.11 billion,15111064182,1060
147,Mauritius,$14.94 billion,14938055690,11991
148,Tajikistan,$14.43 billion,14425113700,1362
149,Namibia,$13.64 billion,13641190683,4502
150,Equatorial Guinea,$13.25 billion,13254388261,7004
151,Somalia,$11.97 billion,11967000000,630
152,Malawi,$11.31 billion,11311971400,522
153,Monaco,$11.13 billion,11125788838,288002
154,Mauritania,$10.88 billion,10879212033,2105
155,Togo,$10.64 billion,10643440332,1266
156,Bermuda,$9.19 billion,9194499000,142250
157,Liechtenstein,$8.91 billion,8905764270,220167
158,New Caledonia,$8.55 billion,8548919387,29213
159,Montenegro,$8.27 billion,8274290506,13270
160,Yemen,$8.06 billion (IMF),8058000000,441
161,Cayman Islands,$7.77 billion,7765336505,104293
162,Barbados,$7.6 billion,7597571450,26897
163,Isle of Man,$7.58 billion (2023),7576129933,90015
164,Maldives,$7.06 billion,7061608267,13379
165,Sierra Leone,$6.97 billion,6971127234,807
166,Guam,$6.91 billion (2022),6910000000,41833
167,French Polynesia,$6.32 billion,6323716355,22440
168,Fiji,$5.97 billion,5968125909,6426
169,Eswatini,$4.86 billion,4858885841,3910
170,Liberia,$4.78 billion,4779300900,851
171,U.S. Virgin Islands,$4.67 billion (2022),4672000000,44321
172,South Sudan,$4.64 billion (IMF),4637000000,388
173,Suriname,$4.42 billion,4416775113,6962
174,Aruba,$4.17 billion,4167588070,38591
175,Djibouti,$4.15 billion,4152145940,3553
176,Faeroe Islands,$4.05 billion,4052937170,74175
177,Andorra,$4.04 billion,4044249679,49357
178,Curaçao,$3.56 billion,3561178212,22833
179,Bhutan,$3.35 billion,3346603859,4228
180,Greenland,$3.33 billion (2023),3326543974,58499
181,Belize,$3.2 billion,3203631800,7681
182,Burundi,$3.04 billion,3037579858,216
183,Central African Republic,$2.75 billion,2751494281,516
184,Cabo Verde,$2.71 billion,2713721857,5170
185,Saint Lucia,$2.61 billion,2605148148,14494
186,Gambia,$2.4 billion,2404888738,871
187,Lesotho,$2.39 billion,2391282548,1023
188,Eritrea,"$2.28 billion (UN, 2023)",2275290216,656
189,Seychelles,$2.23 billion,2228608684,18365
190,Guinea-Bissau,$2.2 billion,2197777210,998
191,Antigua and Barbuda,$2.16 billion,2162366667,23060
192,San Marino,$2.09 billion (IMF),2086000000,60946
193,Timor-Leste,$1.87 billion,1865608515,1332
194,Sint Maarten,$1.8 billion,1797836648,41473
195,Turks and Caicos,$1.75 billion,1745378000,37507
196,Comoros,$1.61 billion,1610082688,1858
197,Solomon Islands,$1.58 billion,1583964704,1934
198,British Virgin Islands,"$1.51 billion (UN, 2023)",1505856107,38627
199,Grenada,$1.35 billion,1351270370,11529
200,Vanuatu,$1.3 billion,1297956615,3960
201,Samoa,$1.18 billion,1175749786,5393
202,St. Vincent & Grenadines,$1.16 billion,1157207407,11501
203,Saint Kitts & Nevis,$1.12 billion,1122388889,23961
204,Northern Mariana Islands,$1.1 billion (2022),1096000000,23786
205,American Samoa,$871 million (2022),871000000,18017
206,Sao Tome & Principe,$824.99 million,824992558,3503
207,Dominica,$688.88 million,688881481,10405
208,Tonga,$647.49 million,647488244,6215
209,Micronesia,$481.12 million,481121300,4252
210,Anguilla,"$415.74 million (UN, 2023)",415735284,28850
211,Cook Islands,"$366.21 million (UN, 2023)",366211548,25750
212,Kiribati,$343.15 million,343153235,2551
213,Palau,$321.5 million,321501813,18169
214,Marshall Islands,$285 million,285000000,7590
215,Nauru,$167.83 million,167833415,14048
216,Montserrat,"$80.43 million (UN, 2023)",80429630,18197
217,Tuvalu,$56 million (IMF),56000000,5729
—,Saint Martin,$649.21 million (2021),649206263,21668
