rank,country,gdp_label,gdp_usd,gdp_per_capita_usd
102,Latvia,$48.62 billion,48618869160,26312
103,Libya,$48.1 billion,48098909614,6449
104,Estonia,$47.03 billion,47030833799,34418
105,Nepal,$45.49 billion,45489810283,1536
106,Cyprus,$41.23 billion,41225787247,41783
107,Honduras,$39.6 billion,39601409103,3598
108,Iceland,$38.58 billion,38582528789,98323
109,Georgia,$38.14 billion,38143612855,9692
110,Senegal,$37.01 billion,37006536238,1955
111,El Salvador,$36.71 billion,36708110000,5767
112,Lebanon,$34.5 billion (IMF),34497000000,6443
113,Bosnia and Herzegovina,$32.6 billion,32599982936,10382
114,Papua New Guinea,$32.5 billion,32498658654,3020
115,Haiti,$32.08 billion,32077278409,2694
116,Albania,$30.54 billion,30540188271,12998
117,Mali,$30.07 billion,30069148581,1193
118,Armenia,$29.24 billion,29243452882,9474
119,Zambia,$28.88 billion,28879806220,1318
120,Guinea,$28.35 billion,28346024753,1877
121,Malta,$27.77 billion,27771821561,47907
122,Burkina Faso,$27.63 billion,27627297461,1148
123,Guyana,$27.1 billion,27097477218,32414
124,Trinidad and Tobago,$25.94 billion,25942749718,18967
125,Mongolia,$25.37 billion,25369107325,7108
126,Benin,$24.57 billion,24566420904,1658
127,Jamaica,$22.7 billion,22704903218,8003
128,Kyrgyzstan,$22.62 billion,22623752095,3081
129,Mozambique,$22.34 billion,22337997046,627
130,Nicaragua,$22.24 billion,22237167113,3173
131,Niger,$21.65 billion,21646191388,775
132,Chad,$21.47 billion,21472835225,1022
133,Gabon,$21.43 billion,21427119323,8263
134,Moldova,$20.35 billion,20351796275,8622
135,Syria,$19.99 billion (2023),19993439950,847
136,Botswana,$19.93 billion,19928479839,7778
137,Afghanistan,$19.66 billion (IMF),19662000000,448
138,Madagascar,$19.62 billion,19620352036,599
139,North Macedonia,$19.1 billion,19101199817,10490
140,Laos,$18.3 billion,18302970219,2325
141,Tajikistan,$17.66 billion,17660626562,1637
142,State of Palestine,$17.17 billion,17167100000,3171
143,Bahamas,$16.51 billion (IMF),16508000000,40005
144,North Korea,"$16.45 billion (UN, 2023)",16446632290,640
145,Rwanda,$16.37 billion,16372132990,1124
146,Congo,$16.31 billion,16306633779,2515
147,Mauritius,$16.16 billion,16157804492,12991
148,Namibia,$15.08 billion,15080340654,4876
149,Brunei,$15.03 billion,15031980994,32235
150,Malawi,$14.92 billion,14918276698,672
151,Somalia,$13 billion,12995200000,661
152,Equatorial Guinea,$12.82 billion,12823210426,6615
153,Togo,$11.89 billion,11889949067,1384
154,Mauritania,$11.68 billion,11679910946,2198
155,Monaco,$11.13 billion (2024),11125788838,288002
156,Montenegro,$9.23 billion,9232801465,14817
157,Bermuda,$9.19 billion (2024),9194499000,142250
158,Liechtenstein,$8.99 billion (IMF),8991000000,217928
159,New Caledonia,$8.55 billion (2024),8548919387,29213
160,Barbados,$8.02 billion,8016550000,28365
161,Yemen,$7.9 billion (IMF),7897000000,420
162,Cayman Islands,$7.77 billion (2024),7765336505,104293
163,Maldives,$7.74 billion,7741066861,14615
164,Isle of Man,$7.58 billion (2023),7576129933,90015
165,Sierra Leone,$7.46 billion,7464157904,846
166,French Polynesia,$6.32 billion (2024),6323716355,22440
167,Fiji,$6.2 billion,6198013062,6642
168,South Sudan,$5.73 billion (IMF),5733000000,470
169,Liberia,$5.25 billion,5245938900,915
170,Eswatini,$5.16 billion,5160679613,4108
171,Djibouti,$4.62 billion,4624533092,3906
172,Suriname,$4.52 billion,4523657797,7070
173,Aruba,$4.52 billion (IMF),4521000000,41462
174,Andorra,$4.5 billion,4500982732,54292
175,Faeroe Islands,$4.05 billion (2024),4052937170,74175
176,Bhutan,$3.58 billion,3579320145,4493
177,Curaçao,$3.56 billion (2024),3561178212,22833
178,Burundi,$3.36 billion,3364713864,234
179,Greenland,$3.33 billion (2023),3326543974,58499
180,Belize,$3.33 billion,3326500000,7865
181,Central African Republic,$3.07 billion,3066109226,556
182,Cabo Verde,$3.06 billion,3056630435,5796
183,Saint Lucia,$2.66 billion,2656444444,14746
184,Gambia,$2.59 billion,2593673988,919
185,Lesotho,$2.57 billion,2573572920,1089
186,Guinea-Bissau,$2.53 billion,2527930273,1124
187,Seychelles,$2.39 billion,2387022853,19449
188,Antigua and Barbuda,$2.34 billion,2338196296,24819
189,Eritrea,"$2.28 billion (UN, 2023)",2275290216,656
190,San Marino,$2.25 billion (IMF),2251000000,65543
191,Timor-Leste,$1.9 billion,1902180258,1341
192,Sint Maarten,$1.89 billion,1887728480,42978
193,Comoros,$1.81 billion,1814920856,2056
194,Solomon Islands,$1.75 billion,1749572443,2086
195,Turks and Caicos,$1.75 billion (2024),1745378000,37507
196,British Virgin Islands,"$1.51 billion (UN, 2023)",1505856107,38627
197,Grenada,$1.42 billion,1420173229,12107
198,Vanuatu,$1.35 billion,1353658841,4039
199,Samoa,$1.29 billion,1287936622,5873
200,St. Vincent & Grenadines,$1.26 billion,1255222222,12562
201,Saint Kitts & Nevis,$1.18 billion,1183514815,25223
202,Sao Tome & Principe,$981.29 million,981293587,4084
203,Dominica,$723.86 million,723859259,10989
204,Tonga,$679.22 million,679218219,6547
205,Micronesia,$501.8 million,501797600,4414
206,Anguilla,"$415.74 million (UN, 2023)",415735284,28850
207,Cook Islands,"$366.21 million (UN, 2023)",366211548,25750
208,Kiribati,$349.23 million,349227254,2559
209,Palau,$345 million,345000000,19532
210,Marshall Islands,$308 million,308000000,8489
211,Nauru,$176.04 million,176040044,14640
212,Montserrat,"$80.43 million (UN, 2023)",80429630,18197
213,Tuvalu,$58 million (IMF),58000000,5823
—,Guam,$6.91 billion (2022),6910000000,41833
—,U.S. Virgin Islands,$4.67 billion (2022),4672000000,44321
—,Northern Mariana Islands,$1.1 billion (2022),1096000000,23786
—,American Samoa,$871 million (2022),871000000,18017
—,Saint Martin,$649.21 million (2021),649206263,21668
