rank,country,gdp_label,gdp_usd,gdp_per_capita_usd
1,United States,$30.77 trillion,30769700000000,90027
2,China,$19.5 trillion,19498039388043,13862
3,Germany,$5.05 trillion,5050922925047,60496
4,Japan,$4.44 trillion,4435162999977,35951
5,United Kingdom,$4 trillion,4002587541846,57602
6,India,$3.96 trillion,3956067115772,2702
7,France,$3.37 trillion,3366315927447,48986
8,Russia,$2.56 trillion,2561310169359,17547
9,Italy,$2.55 trillion,2551556954100,43309
10,Canada,$2.32 trillion,2319899772426,55698
11,Brazil,$2.28 trillion,2279920092492,10713
12,Spain,$1.91 trillion,1906453309986,38627
13,South Korea,$1.87 trillion,1872374961553,36227
14,Mexico,$1.83 trillion,1832641364776,13889
15,Australia,$1.8 trillion,1798518933689,65130
16,Turkey,$1.6 trillion,1597293229287,18599
17,Indonesia,$1.45 trillion,1445642584164,5060
18,Netherlands,$1.33 trillion,1332767651100,73684
19,Saudi Arabia,$1.28 trillion,1276942933333,34537
20,Switzerland,$1.04 trillion,1043529899251,114769
21,Poland,$1.04 trillion,1035491784197,28420
22,Taiwan,$920.05 billion (IMF),920050000000,39489
23,Belgium,$725.47 billion,725466462860,60750
24,Ireland,$721.7 billion,721701359046,131592
25,Argentina,$683.1 billion,683097891619,14898
26,Sweden,$669 billion,668998664082,63133
27,Israel,$610.78 billion,610777842874,60337
28,Singapore,$603.87 billion,603869516999,98814
29,Austria,$579.47 billion,579470021095,62930
30,Thailand,$577.01 billion,577009981112,8057
31,United Arab Emirates,$571.64 billion (IMF),571643000000,50232
32,Norway,$530.76 billion,530755719439,94594
33,Vietnam,$514.7 billion,514697215165,5066
34,Philippines,$487.09 billion,487086123720,4171
35,Malaysia,$472.19 billion,472193128645,13125
36,Denmark,$462.53 billion,462526660468,76970
37,Colombia,$457.41 billion,457410034203,8562
38,Bangladesh,$456.32 billion,456319229256,2597
39,Romania,$428.68 billion,428677977855,22538
40,Hong Kong,$427.31 billion,427310315922,56983
41,South Africa,$427.18 billion,427184325997,6598
42,Pakistan,$407.31 billion,407307214476,1596
43,Czech Republic (Czechia),$391.03 billion,391026962800,35917
44,Egypt,$365.25 billion,365254630180,3086
45,Iran,$362.68 billion,362682115433,3924
46,Chile,$357.37 billion,357371159575,17995
47,Portugal,$346.64 billion,346639825142,32082
48,Peru,$334.85 billion,334854659182,9684
49,Finland,$317.04 billion,317039368820,56149
50,Kazakhstan,$306.24 billion,306239209650,14692
51,Nigeria,$290.79 billion,290794361542,1224
52,Algeria,$287.03 billion,287031225988,6051
53,Greece,$280.64 billion,280635521324,26948
54,New Zealand,$264.06 billion,264057413740,49591
55,Iraq,$254.37 billion,254367293538,5410
56,Hungary,$246.49 billion,246490213513,25907
57,Qatar,$215.56 billion,215559615385,72525
58,Ukraine,$214.23 billion,214233312784,5866
59,Cuba,"$201.99 billion (UN, 2023)",201985998168,18329
60,Morocco,$182.37 billion,182374250612,4672
61,Kuwait,$157.21 billion,157209026926,32312
62,Slovakia,$154.53 billion,154530066507,28544
63,Uzbekistan,$147.04 billion,147038081129,3968
64,Kenya,$135.94 billion,135941278879,2363
65,Bulgaria,$130.78 billion,130777235530,20328
66,Ecuador,$130.32 billion,130320560400,7125
67,Puerto Rico,$129.37 billion,129368484000,40620
68,Dominican Republic,$127.41 billion,127407463759,11059
69,Ethiopia,$126.36 billion,126358758448,933
70,Guatemala,$123.31 billion,123306008821,6598
71,Angola,$122.17 billion,122174889424,3129
72,Ghana,$114.21 billion,114209905279,3257
73,Oman,$109.6 billion,109604780696,19947
74,Sri Lanka,$108.83 billion,108825231671,5002
75,Croatia,$105.06 billion,105060182186,27104
76,Costa Rica,$102.9 billion,102904921157,19970
77,Luxembourg,$101.16 billion,101157829491,147252
78,Serbia,$99.95 billion,99953324473,15262
79,Côte d'Ivoire,$99.77 billion,99773555666,3050
80,Venezuela,$99.66 billion,99661244156,3495
81,Lithuania,$95.21 billion,95210150818,32959
82,Belarus,$93.4 billion,93397215864,10279
83,DR Congo,$91.03 billion,91030531317,807
84,Panama,$90.46 billion,90462600000,19790
85,Tanzania,$90.14 billion,90143496090,1319
86,Uruguay,$85.35 billion,85347696278,25216
87,Myanmar,$81.67 billion,81665773810,1489
88,Slovenia,$79.65 billion,79648204979,37376
89,Azerbaijan,$75.94 billion,75937647059,7411
90,Bolivia,$64.77 billion,64768947525,5148
91,Uganda,$61.99 billion,61985829288,1206
92,Jordan,$61.61 billion,61610052535,5348
93,Sudan,$60.16 billion,60162634574,1165
94,Cameroon,$58.93 billion,58933453924,1972
95,Tunisia,$57.5 billion,57502836548,4657
96,Macao,$52.06 billion,52061007670,75902
97,Cambodia,$51.27 billion,51267065843,2872
98,Zimbabwe,$51.22 billion,51215643906,3021
99,Turkmenistan,$49.83 billion,49828621356,6540
100,Paraguay,$49.28 billion,49278227554,7027
101,Bahrain,$48.97 billion,48965725532,30597
