iso2,iso3,year,value
SG,SGP,2025,163353.990260152
LU,LUX,2025,156542.075847247
IE,IRL,2025,155089.413131749
MO,MAC,2025,137030.679100085
QA,QAT,2025,128882.934242572
NO,NOR,2025,104043.666429243
CH,CHE,2025,102513.347221899
GY,GUY,2025,97899.0116180627
BN,BRN,2025,92429.9262686398
US,USA,2025,90026.5163005744
NL,NLD,2025,87320.1477254029
IS,ISL,2025,83431.2131434311
DK,DNK,2025,83218.071525634
HK,HKG,2025,80422.8129947646
AD,AND,2025,79566.7925868466
AT,AUT,2025,76777.5421537618
DE,DEU,2025,75406.6888111618
BE,BEL,2025,74675.607672673
SA,SAU,2025,73783.5613906833
SE,SWE,2025,72528.8892631159
MT,MLT,2025,72210.3392223985
AU,AUS,2025,71934.4033931263
BH,BHR,2025,70996.7821254802
CA,CAN,2025,66745.8248561648
FI,FIN,2025,65884.4876972259
GB,GBR,2025,64606.4955066338
CY,CYP,2025,64574.62109375
FR,FRA,2025,63975.353585864
KR,KOR,2025,63124.9152183625
IT,ITA,2025,62802.5108384276
CZ,CZE,2025,60487.2877495391
ES,ESP,2025,59867.6944716701
IL,ISR,2025,59716.9735387228
SI,SVN,2025,59244.7106359661
NZ,NZL,2025,57350.3627657521
LT,LTU,2025,56837.8067003598
SX,SXM,2025,56490.5015205836
KW,KWT,2025,56467.7272075432
JP,JPN,2025,55421.8797530311
PL,POL,2025,54262.4040405236
PT,PRT,2025,53145.7317498942
PR,PRI,2025,52195.5534213472
EE,EST,2025,52105.5093433416
HR,HRV,2025,50946.1671131832
RO,ROU,2025,50895.081617639
HU,HUN,2025,49837.6008411067
RU,RUS,2025,49568.140625
SK,SVK,2025,49308.7048471448
LV,LVA,2025,46136.689377286
TR,TUR,2025,45288.4750285273
GR,GRC,2025,45263.6498511586
BG,BGR,2025,44451.1001576913
KZ,KAZ,2025,44293.4839632441
PA,PAN,2025,43902.1632084954
OM,OMN,2025,42295.1761223734
MY,MYS,2025,41497.6746089548
UY,URY,2025,38314.8861221656
CL,CHL,2025,37774.0879069903
TT,TTO,2025,37121.2050020847
KN,KNA,2025,36777.262691657
SC,SYC,2025,35854.0281615068
AG,ATG,2025,35832.4795485115
ME,MNE,2025,35422.6449824931
BY,BLR,2025,34715.9778689211
RS,SRB,2025,33909.7605745332
CR,CRI,2025,33814.7696296148
MU,MUS,2025,33666.64355884
AR,ARG,2025,32586.6312086783
GE,GEO,2025,29414.3813424216
CN,CHN,2025,29333.3311051433
DO,DOM,2025,28721.0964580217
LC,LCA,2025,28673.8437920214
MV,MDV,2025,28554.8945669737
AL,ALB,2025,28220.7950617158
MK,MKD,2025,28028.5664230631
TH,THA,2025,26250.0723587304
AZ,AZE,2025,26112.5306828203
BB,BRB,2025,25893.8676913012
MX,MEX,2025,25868.4787520629
BA,BIH,2025,25814.2641520511
,WLD,2025,25703.7416091769
AM,ARM,2025,24754.2118320452
BR,BRA,2025,23433.2897595431
PW,PLW,2025,23051.6787122681
VC,VCT,2025,22799.4005332261
DM,DMA,2025,22713.1288027433
SR,SUR,2025,22652.3952637959
CO,COL,2025,22640.4224606513
TM,TKM,2025,22601.5518373128
GA,GAB,2025,22218.341068445
GD,GRD,2025,21345.9653408221
MN,MNG,2025,20797.7652692242
BW,BWA,2025,20697.9104661898
EG,EGY,2025,20204.0130500153
PY,PRY,2025,20181.4242826808
MD,MDA,2025,19995.7590923995
IR,IRN,2025,19699.2193549189
BT,BTN,2025,19594.0028382994
XK,XKX,2025,19263.3268800963
UA,UKR,2025,18904.98046875
PE,PER,2025,18816.1045522938
DZ,DZA,2025,18586.2607480579
VN,VNM,2025,18088.491587163
ID,IDN,2025,17659.7921291587
LK,LKA,2025,17065.0298635432
EC,ECU,2025,16756.6539631307
LY,LBY,2025,16521.3998152838
FJ,FJI,2025,16337.5722970567
GQ,GNQ,2025,16133.1056143137
ZA,ZAF,2025,15905.6794419658
TN,TUN,2025,15233.4885842318
GT,GTM,2025,15197.0831415082
BZ,BLZ,2025,14965.7521203147
IQ,IRQ,2025,14266.7965348226
NR,NRU,2025,14200.486778198
SV,SLV,2025,14101.1774819291
UZ,UZB,2025,13601.2917473678
JM,JAM,2025,13291.253767787
BO,BOL,2025,12873.0394876629
JO,JOR,2025,12631.6299394746
PH,PHL,2025,12576.9867435109
SZ,SWZ,2025,12529.2796629252
CV,CPV,2025,12165.2989335356
NA,NAM,2025,11985.7200318677
IN,IND,2025,11747.9160436011
MA,MAR,2025,11111.7080078125
LA,LAO,2025,10382.9990718948
AO,AGO,2025,10251.3457063657
BD,BGD,2025,10153.7083791829
NG,NGA,2025,9531.61073275049
WS,WSM,2025,9318.95775945515
NI,NIC,2025,9283.92301511154
KG,KGZ,2025,9219.51443675205
MH,MHL,2025,8964.32212870807
TO,TON,2025,8674.68048447494
GH,GHA,2025,8610.2796922986
KH,KHM,2025,8542.6965378612
DJ,DJI,2025,8451.96838146073
CI,CIV,2025,8208.90898574972
HN,HND,2025,7871.09129065536
MR,MRT,2025,7675.51996658445
CG,COG,2025,7248.44439070757
KE,KEN,2025,7015.93578839722
TV,TUV,2025,6759.27941373717
PK,PAK,2025,6573.41613369925
ZW,ZWE,2025,6470.41613223905
ST,STP,2025,6388.47738664299
NP,NPL,2025,6175.15897150244
MM,MMR,2025,6011.53492175516
TJ,TJK,2025,5923.47183321348
CM,CMR,2025,5787.85440270861
SN,SEN,2025,5463.21828561328
PG,PNG,2025,5214.768271628
PS,PSE,2025,4999.71301859773
GN,GIN,2025,4934.65125959855
BJ,BEN,2025,4816.87504692826
TL,TLS,2025,4809.49016945191
FM,FSM,2025,4604.39540764468
VU,VUT,2025,4525.23645747645
TZ,TZA,2025,4470.9541015625
ZM,ZMB,2025,4379.26131013191
KM,COM,2025,4238.26133409182
RW,RWA,2025,4164.436605809
TG,TGO,2025,4079.36376686718
KI,KIR,2025,3936.61263730517
SL,SLE,2025,3716.89410482498
GM,GMB,2025,3705.64184038599
ET,ETH,2025,3621.67487597821
ML,MLI,2025,3502.76132351788
UG,UGA,2025,3487.69797525182
GW,GNB,2025,3293.09532269486
LS,LSO,2025,3184.11725194709
HT,HTI,2025,3133.72347930529
BF,BFA,2025,3071.62546744866
TD,TCD,2025,2902.7406157583
SB,SLB,2025,2787.61656406214
SD,SDN,2025,2192.27221679688
NE,NER,2025,2177.25014417163
LR,LBR,2025,1981.09483342188
MG,MDG,2025,1952.48426903369
CD,COD,2025,1919.82250200565
