iso2,iso3,year,value
LU,LUX,2023,152596.126692093
SG,SGP,2023,144728.385132013
IE,IRL,2023,133440.438499393
QA,QAT,2023,129024.806992334
MO,MAC,2023,116424.421317954
BM,BMU,2023,113596.12110365
NO,NOR,2023,107767.977198972
CH,CHE,2023,93939.7784980038
KY,CYM,2023,88395.1826392376
BN,BRN,2023,85102.6867427911
US,USA,2023,82586.7847707891
IS,ISL,2023,82256.5277425273
NL,NLD,2023,80391.6029350952
FO,FRO,2023,79784.0760936327
GL,GRL,2023,78905.5801137274
SM,SMR,2023,78810.3378046111
AE,ARE,2023,78019.5228244288
DK,DNK,2023,77425.3867230346
AT,AUT,2023,74261.1961105071
BE,BEL,2023,72629.6179311762
AU,AUS,2023,72272.7092136683
DE,DEU,2023,72262.2235142279
AD,AND,2023,71789.7907855414
SA,SAU,2023,71623.785419098
HK,HKG,2023,71519.1754897022
SE,SWE,2023,68457.9015289277
MT,MLT,2023,67101.1037962636
CA,CAN,2023,64962.1919440095
BH,BHR,2023,64223.977053306
FI,FIN,2023,63466.8356113767
FR,FRA,2023,60927.0361517867
GB,GBR,2023,60786.7193353069
IT,ITA,2023,60349.664512107
CY,CYP,2023,59874.734375
KR,KOR,2023,57429.8031076402
SI,SVN,2023,56150.6852244867
CZ,CZE,2023,56062.3957561294
ES,ESP,2023,55661.317481747
IL,ISR,2023,55301.43606891
NZ,NZL,2023,54949.699278118
GY,GUY,2023,54774.145474106
KW,KWT,2023,53083.3848600632
JP,JPN,2023,52726.2389417641
LT,LTU,2023,52720.0689650863
SX,SXM,2023,51729.2528621078
PT,PRT,2023,49800.3476220918
EE,EST,2023,48848.1421016254
PL,POL,2023,48473.0940286419
HR,HRV,2023,47759.6272293173
PR,PRI,2023,47582.5504550609
AW,ABW,2023,47521.8765471843
HU,HUN,2023,46376.1979062264
RO,ROU,2023,45981.6373404846
SK,SVK,2023,45864.6125430469
RU,RUS,2023,44298.67578125
TR,TUR,2023,43196.3381254367
LV,LVA,2023,42783.8260226567
GR,GRC,2023,42613.6574438075
OM,OMN,2023,41979.5975879711
PA,PAN,2023,39846.2245506562
BS,BHS,2023,39122.340470849
BG,BGR,2023,38829.297423161
KZ,KAZ,2023,38546.9287207389
MY,MYS,2023,36496.9483630681
TC,TCA,2023,35365.8657232406
TT,TTO,2023,34651.9065448775
UY,URY,2023,34545.6803727886
KN,KNA,2023,34007.6371717125
CL,CHL,2023,33173.5278418356
SC,SYC,2023,31893.9628108379
AG,ATG,2023,31892.5519402733
ME,MNE,2023,31862.873635118
BY,BLR,2023,30859.5916206484
CW,CUW,2023,30676.8522403072
AR,ARG,2023,30246.4069577192
RS,SRB,2023,29776.9743496564
MU,MUS,2023,29402.9391464973
CR,CRI,2023,29247.8937202355
LC,LCA,2023,26253.9280339233
DO,DOM,2023,25861.2335511855
MK,MKD,2023,25354.144126576
CN,CHN,2023,25200.068112272
MX,MEX,2023,25188.3182559609
GE,GEO,2023,25092.632631604
AL,ALB,2023,24847.5057998051
MV,MDV,2023,24806.6325837081
AZ,AZE,2023,23671.0936895744
TH,THA,2023,23598.3745068685
,WLD,2023,23381.6927256577
BA,BIH,2023,23376.3069324282
BB,BRB,2023,23176.0027148492
AM,ARM,2023,21551.7793903081
CO,COL,2023,21281.7475207548
BR,BRA,2023,21193.0721417478
SR,SUR,2023,21127.5975244081
BW,BWA,2023,21029.4218686605
GA,GAB,2023,20772.7726890351
DM,DMA,2023,20302.7023497562
VC,VCT,2023,19836.205036664
TM,TKM,2023,19644.7256847416
GD,GRD,2023,18986.3762946619
IR,IRN,2023,18932.6833817658
