iso2,iso3,year,value
EG,EGY,2023,18540.1079077988
PW,PLW,2023,18313.2535592192
MN,MNG,2023,18019.6912274585
MD,MDA,2023,17750.5576656772
UA,UKR,2023,17679.904296875
PY,PRY,2023,17585.0746806625
PE,PER,2023,17041.5682788302
GQ,GNQ,2023,16997.002016833
DZ,DZA,2023,16838.3550419037
BT,BTN,2023,16228.5169143762
EC,ECU,2023,15907.3619798807
XK,XKX,2023,15817.4329388361
ID,IDN,2023,15428.3856954945
ZA,ZAF,2023,15212.2609596178
VN,VNM,2023,15033.899969483
IQ,IRQ,2023,14664.5981923773
FJ,FJI,2023,14656.2474506851
LK,LKA,2023,14512.1432202455
TN,TUN,2023,14052.1687041992
LY,LBY,2023,13858.4923072147
GT,GTM,2023,13751.6084364487
BZ,BLZ,2023,13741.2085585188
NR,NRU,2023,13171.9554999008
BO,BOL,2023,12902.7509503368
SV,SLV,2023,12667.4662875421
JM,JAM,2023,12661.3324691366
LB,LBN,2023,12585.1973845359
UZ,UZB,2023,11678.6257366395
JO,JOR,2023,11450.5720698729
SZ,SWZ,2023,11309.1967529876
NA,NAM,2023,11247.8071969605
PH,PHL,2023,10994.8840414773
CV,CPV,2023,10250.5950245626
MA,MAR,2023,9902.8056640625
IN,IND,2023,9853.04309264591
AO,AGO,2023,9549.79313920752
LA,LAO,2023,9299.44710059913
BD,BGD,2023,9155.31731992295
NG,NGA,2023,8711.68686099289
NI,NIC,2023,8326.83840449159
WS,WSM,2023,8202.61231371824
TO,TON,2023,7810.10184717265
GH,GHA,2023,7562.64422849208
MH,MHL,2023,7525.1504555076
KH,KHM,2023,7436.85544015287
KG,KGZ,2023,7304.10137976789
CI,CIV,2023,7243.14676270142
DJ,DJI,2023,7231.79450192575
HN,HND,2023,7184.25562362375
MR,MRT,2023,6971.65100210032
CG,COG,2023,6855.92386613313
KE,KEN,2023,6322.24569873446
PS,PSE,2023,6178.51270322198
ST,STP,2023,6155.05042011344
PK,PAK,2023,6018.94650802152
MM,MMR,2023,5958.26424874022
TV,TUV,2023,5903.8648736232
ZW,ZWE,2023,5795.99047011573
CM,CMR,2023,5415.22890256369
NP,NPL,2023,5399.65505811688
TJ,TJK,2023,4967.6740543988
TL,TLS,2023,4810.78356024783
SN,SEN,2023,4781.55234083159
PG,PNG,2023,4672.27238740885
GN,GIN,2023,4337.3181486001
FM,FSM,2023,4266.72631824787
VU,VUT,2023,4201.80837273668
BJ,BEN,2023,4133.3701351778
ZM,ZMB,2023,4080.35544205923
TZ,TZA,2023,4021.82885742188
KM,COM,2023,3896.71858176845
TG,TGO,2023,3572.00417260831
KI,KIR,2023,3526.6871592056
RW,RWA,2023,3518.91850615405
SL,SLE,2023,3371.09351712436
GM,GMB,2023,3291.84381275128
HT,HTI,2023,3264.65805430675
ML,MLI,2023,3178.41515939915
UG,UGA,2023,3100.19016956104
ET,ETH,2023,3063.42789983124
GW,GNB,2023,2955.52345541775
LS,LSO,2023,2879.59482438145
BF,BFA,2023,2761.57633646549
TD,TCD,2023,2703.06889886705
SB,SLB,2023,2599.03676008376
SD,SDN,2023,2422.6533203125
AF,AFG,2023,2203.53761869487
NE,NER,2023,1902.69710752042
MW,MWI,2023,1831.97332483901
MG,MDG,2023,1810.09891584306
LR,LBR,2023,1796.01250525501
CD,COD,2023,1732.04870835091
MZ,MOZ,2023,1680.20873445078
SO,SOM,2023,1556.89233845758
CF,CAF,2023,1258.13048389217
BI,BDI,2023,1147.42440486734
