iso2,iso3,year,value
ET,ETH,2024,3292.3093336937
UG,UGA,2024,3278.02086557843
HT,HTI,2024,3168.87908307377
GW,GNB,2024,3093.46533465682
LS,LSO,2024,3070.79580931865
BF,BFA,2024,2901.04214238045
TD,TCD,2024,2766.98134913811
SB,SLB,2024,2679.1210283533
AF,AFG,2024,2236.19907311431
SD,SDN,2024,2118.88891601563
NE,NER,2024,2044.04904937758
MG,MDG,2024,1888.66403175151
LR,LBR,2024,1873.76133636244
MW,MWI,2024,1860.31534523381
CD,COD,2024,1823.27705135453
MZ,MOZ,2024,1708.3035966667
SO,SOM,2024,1604.29116285918
CF,CAF,2024,1264.93671692975
BI,BDI,2024,1193.03528498996
